One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation: Database Administrators (SOC code 15-1242),,,,,,,,,,,,,,,,,
Period: May 2024,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
New Mexico (35-00000),520,7.3,$45.42,"$94,480",2.5,$29.86,$34.90,$45.60,$50.28,$62.50,"$62,100","$72,600","$94,850","$104,590","$130,010",0.609,1.3
New York (36-00000),"3,680",6.7,$54.36,"$113,070",2.3,$29.63,$38.13,$51.41,$65.65,$83.62,"$61,630","$79,310","$106,940","$136,550","$173,930",0.385,0.8
North Carolina (37-00000),"1,990",24.5,$51.03,"$106,140",10.1,$28.19,$36.02,$52.13,$63.12,$73.14,"$58,640","$74,920","$108,430","$131,290","$152,140",0.407,0.9
North Dakota (38-00000),90,7.4,$41.32,"$85,950",3.1,$25.12,$28.58,$36.73,$48.29,$63.35,"$52,250","$59,450","$76,400","$100,440","$131,780",0.206,0.4
Ohio (39-00000),"1,770",5.0,$46.35,"$96,400",2.4,$24.81,$35.58,$45.20,$59.54,$67.32,"$51,590","$74,010","$94,020","$123,840","$140,020",0.319,0.7
Oklahoma (40-00000),660,8.4,$42.03,"$87,430",2.1,$21.15,$28.84,$37.01,$56.82,$64.65,"$43,990","$59,990","$76,980","$118,180","$134,470",0.391,0.8
Oregon (41-00000),930,9.2,$50.50,"$105,050",2.5,$27.99,$37.92,$49.35,$62.66,$70.13,"$58,230","$78,880","$102,650","$130,330","$145,870",0.473,1.0
Pennsylvania (42-00000),"5,000",48.7,$50.53,"$105,100",3.3,$31.24,$43.89,$51.83,$52.70,$67.01,"$64,980","$91,280","$107,800","$109,610","$139,370",0.831,1.8
Puerto Rico (72-00000),230,10.6,$27.86,"$57,950",5.2,$17.32,$20.75,$23.66,$33.19,$43.09,"$36,020","$43,160","$49,210","$69,040","$89,640",0.241,0.5
Rhode Island (44-00000),320,21.3,$50.05,"$104,100",10.4,$29.59,$33.76,$49.91,$61.81,$75.91,"$61,540","$70,220","$103,810","$128,560","$157,900",0.645,1.4
South Carolina (45-00000),660,7.1,$48.02,"$99,890",2.9,$26.86,$34.59,$44.55,$60.66,$74.85,"$55,880","$71,940","$92,670","$126,170","$155,690",0.293,0.6
South Dakota (46-00000),150,6.9,$42.12,"$87,610",1.8,$25.94,$36.24,$41.30,$49.46,$53.42,"$53,950","$75,380","$85,890","$102,880","$111,110",0.325,0.7
Tennessee (47-00000),"1,440",9.1,$48.39,"$100,650",4.3,$22.79,$33.71,$48.87,$62.75,$74.09,"$47,390","$70,120","$101,640","$130,520","$154,110",0.438,0.9
